age,Sexe,Situation,Ville,Profession,UtilisateurPotentiel,TypeContrat
26,Homme,En Couple,Ben Arous,Employé(e),Non,Contrat de travail (CDI- CDD- CIVP)
22,Femme,En Couple,Ben Arous,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
26,Homme,En Couple,Ariana,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
27,Femme,En Couple,Ariana,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
28,Homme,Célibataire,Ariana,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
27,Homme,En Couple,Ariana,Cadre,Oui,Contrat de location ou de vente de Bien immobilier
58,Homme,Marié(e),Bizerte,Cadre,Oui,Contrat de vente ou d'achat de materiels
53,Homme,Marié(e),Ariana,Cadre,Oui,Contrat d'assurance voyage
22,Homme,Célibataire,Ariana,Sans emploi,Non,Contrat de travail (CDI- CDD- CIVP)
55,Homme,Marié(e),Ariana,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
47,Homme,Marié(e),Sfax,Employé(e),Oui,Contrat de location ou de vente de voiture
28,Homme,Célibataire,Ben Arous,Employé(e),Non,"Attestation de Stage, Contrat de travail (CDI- CDD- CIVP)"
28,Femme,En Couple,Bizerte,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
52,Femme,Marié(e),Bizerte,Employé(e),Non,Contrat de vente ou d'achat de materiels
27,Homme,Célibataire,Mahdia,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
45,Femme,Divorcé(e),Bizerte,Sans emploi,Oui,Contrat de Divorce ou Mariage
32,Homme,Marié(e),La Mannouba,Cadre,Oui,Contrat de location ou de vente de voiture
37,Femme,Marié(e),Ariana,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
24,Homme,En Couple,Ben Arous,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
33,Homme,Divorcé(e),Ben Arous,Employé(e),Oui,Contrat de location ou de vente de Bien immobilier
32,Femme,Marié(e),Ariana,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
45,Femme,Marié(e),Monastir,Employé(e),Oui,Contrat de location ou de vente de voiture
32,Femme,Divorcé(e),Ariana,Employé(e),Oui,Contrat de travail (CDI- CDD- CIVP)
37,Femme,Marié(e),Ariana,Employé(e),Oui,Contrat de location ou de vente de voiture
27,Homme,Célibataire,Tunis,Freelancer,Oui,Contrat Freelancer
